plant_type,infection_short_name,infection_full_name,severity_level,visible_symptoms,treatment_description,biological_control,chemical_control,prevention_steps
Tomato,Early Blight,Early Blight (Alternaria solani),Critical,Target-spot concentric rings on older leaves; yellowing and defoliation,On Tomato: Remove lower infected leaves; apply labeled Alternaria fungicide rotation,Trichoderma soil/foliar programs to suppress Alternaria pressure,Use FRAC-diverse programs; avoid consecutive same-mode sprays,Avoid prolonged leaf wetness; balance fertility
Cucumber,Edema,Physiological Leaf Edema (environmental water imbalance),Medium,Raised watery bumps mistaken for pest damage,On Cucumber: Raise night temperature slightly and improve dehumidification,Pause unnecessary foliar biological sprays until resolved,Do not treat as fungal leaf spot,Match irrigation to light/transpiration
Lettuce,Edema,Physiological Leaf Edema (environmental water imbalance),High,Leaf undersurface callusing after humid cool nights,On Lettuce: Reduce night irrigation; increase airflow; balance root vs leaf moisture,Maintain healthy roots to stabilize water uptake,Focus on climate and irrigation corrections,Match irrigation to light/transpiration
Pepper,Edema,Physiological Leaf Edema (environmental water imbalance),Medium,Raised watery bumps mistaken for pest damage,On Pepper: Raise night temperature slightly and improve dehumidification,Maintain healthy roots to stabilize water uptake,Focus on climate and irrigation corrections,Match irrigation to light/transpiration
Tomato,Edema,Physiological Leaf Edema (environmental water imbalance),Low,Corky blisters on leaf undersides from excess root pressure,On Tomato: Avoid overwatering on cool cloudy days,Maintain healthy roots to stabilize water uptake,No pesticide indicated,Match irrigation to light/transpiration
Cucumber,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),High,Lower leaves yellow then wilt permanently despite moist soil,On Cucumber: Reduce plant stress and apply biological soil suppressants,Trichoderma and non-pathogenic Fusarium biocontrol strains,Limited curative options; focus on sanitation and resistant varieties,Resistant cultivars/rootstocks; clean media and trays
Lettuce,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Critical,Lower leaves yellow then wilt permanently despite moist soil,On Lettuce: Switch to resistant rootstock/cultivar; sanitize affected beds,Compost-based suppressiveness programs,Disinfect tools and irrigation lines thoroughly,Avoid root injury; rotate bays when possible
Pepper,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Critical,One-sided wilting; vascular browning in stem cross-section,On Pepper: Switch to resistant rootstock/cultivar; sanitize affected beds,Beneficial Bacillus soil inoculants,Soil treatments only where labels and regulations allow,Avoid root injury; rotate bays when possible
Potato,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Low,Lower leaves yellow then wilt permanently despite moist soil,On Potato: Switch to resistant rootstock/cultivar; sanitize affected beds,Beneficial Bacillus soil inoculants,Limited curative options; focus on sanitation and resistant varieties,Resistant cultivars/rootstocks; clean media and trays
Strawberry,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Medium,Lower leaves yellow then wilt permanently despite moist soil,On Strawberry: Switch to resistant rootstock/cultivar; sanitize affected beds,Trichoderma and non-pathogenic Fusarium biocontrol strains,Soil treatments only where labels and regulations allow,Avoid root injury; rotate bays when possible
Tomato,Fusarium Wilt,Fusarium Wilt (Fusarium oxysporum),Critical,Stunting and progressive collapse from root-stem vascular infection,On Tomato: Reduce plant stress and apply biological soil suppressants,Beneficial Bacillus soil inoculants,Soil treatments only where labels and regulations allow,Avoid root injury; rotate bays when possible
Cucumber,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Critical,"Gray fuzzy sporulation on flowers, fruit, and wounded tissue",On Cucumber: Remove dead flowers and infected fruit; increase ventilation immediately,Trichoderma and Bacillus biofungicides preventively on flowers,Rotate FRAC-coded greenhouse Botrytis fungicides carefully,Avoid dense canopies and overnight free moisture
Lettuce,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Medium,"Gray fuzzy sporulation on flowers, fruit, and wounded tissue",On Lettuce: Reduce RH spikes; spot-treat with labeled Botrytis fungicide/biofungicide,Antagonist sprays on senescent tissue hotspots,Use protectant + specific Botrytis actives under high pressure,Avoid dense canopies and overnight free moisture
Pepper,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),High,Necrotic lesions on petals and stems under high humidity,On Pepper: Remove dead flowers and infected fruit; increase ventilation immediately,Trichoderma and Bacillus biofungicides preventively on flowers,Target flower and fruit zones; respect resistance guidelines,Harvest promptly; remove aborted fruit and petals daily
Potato,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Low,"Gray fuzzy sporulation on flowers, fruit, and wounded tissue",On Potato: Remove dead flowers and infected fruit; increase ventilation immediately,Trichoderma and Bacillus biofungicides preventively on flowers,Rotate FRAC-coded greenhouse Botrytis fungicides carefully,Harvest promptly; remove aborted fruit and petals daily
Strawberry,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Critical,Soft blossom blight and fruit rot with ash-gray mycelium,On Strawberry: Reduce RH spikes; spot-treat with labeled Botrytis fungicide/biofungicide,Trichoderma and Bacillus biofungicides preventively on flowers,Target flower and fruit zones; respect resistance guidelines,Avoid dense canopies and overnight free moisture
Tomato,Gray Mold,Gray Mold / Botrytis Blight (Botrytis cinerea),Critical,Soft blossom blight and fruit rot with ash-gray mycelium,On Tomato: Sanitize debris and adjust irrigation timing to morning only,Antagonist sprays on senescent tissue hotspots,Rotate FRAC-coded greenhouse Botrytis fungicides carefully,Heat + vent pulses to break humidity spikes
Cucumber,Heat Stress,Environmental Heat / VPD Stress Disorder,Medium,"Leaf cupping, blossom drop, and sunscald under high temperature",On Cucumber: Increase shading/ventilation; lower daytime setpoints; pulse irrigation,No pathogen biological needed; maintain root-zone microbial health,Anti-stress foliar nutrients only when label-safe,Maintain root moisture without waterlogging
Lettuce,Heat Stress,Environmental Heat / VPD Stress Disorder,Low,Wilting at peak day heat with recovery at night,On Lettuce: Run fog/pad cooling if available; avoid midday heavy sprays,Supportive biostimulants only if labeled for stress mitigation,No fungicide required; avoid phytotoxic sprays in heat,Shade cloth schedules; adequate air exchange
Pepper,Heat Stress,Environmental Heat / VPD Stress Disorder,Medium,Bleached fruit shoulders and stalled growth,On Pepper: Run fog/pad cooling if available; avoid midday heavy sprays,No pathogen biological needed; maintain root-zone microbial health,Anti-stress foliar nutrients only when label-safe,Shade cloth schedules; adequate air exchange
Potato,Heat Stress,Environmental Heat / VPD Stress Disorder,High,Bleached fruit shoulders and stalled growth,On Potato: Increase shading/ventilation; lower daytime setpoints; pulse irrigation,No pathogen biological needed; maintain root-zone microbial health,Anti-stress foliar nutrients only when label-safe,Maintain root moisture without waterlogging
Strawberry,Heat Stress,Environmental Heat / VPD Stress Disorder,Medium,"Leaf cupping, blossom drop, and sunscald under high temperature",On Strawberry: Run fog/pad cooling if available; avoid midday heavy sprays,Supportive biostimulants only if labeled for stress mitigation,Anti-stress foliar nutrients only when label-safe,Maintain root moisture without waterlogging
Tomato,Heat Stress,Environmental Heat / VPD Stress Disorder,Medium,Wilting at peak day heat with recovery at night,On Tomato: Run fog/pad cooling if available; avoid midday heavy sprays,No pathogen biological needed; maintain root-zone microbial health,No fungicide required; avoid phytotoxic sprays in heat,Monitor canopy temperature; stage harvests for cooler hours
Potato,Late Blight,Late Blight (Phytophthora infestans),High,"Dark necrotic blotches expanding quickly under cool, wet greenhouse conditions","On Potato: Cull symptomatic plants, sanitize zones, and apply protectant + systemic rotation",Support plant vigor; avoid excess nitrogen that softens tissue,"Protectants (e.g., chlorothalonil/mancozeb-class where legal) on a tight interval",Certified clean transplants; eliminate cull piles and volunteer hosts
Tomato,Late Blight,Late Blight (Phytophthora infestans),Medium,Rapid foliar collapse; greasy stem lesions; fruit/tuber rot in humid weather,"On Tomato: Stop leaf wetness, quarantine bays, and follow extension late-blight alerts",Copper-alternative biofungicides labeled for Phytophthora where available,"Protectants (e.g., chlorothalonil/mancozeb-class where legal) on a tight interval",Certified clean transplants; eliminate cull piles and volunteer hosts
Cucumber,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Low,Numerous leaf lesions coalescing into blighted areas,On Cucumber: Increase airflow and begin a preventive leaf-spot spray rotation,Bacillus subtilis foliar biofungicides,Apply before forecast high-humidity periods,Space plants for rapid drying; scout weekly
Lettuce,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Critical,Speckled foliage; lower leaves yellow and drop prematurely,On Lettuce: Remove spotted leaves; apply labeled protectant fungicide,Biological protectants during humid weather windows,Copper or protectant fungicides labeled for the crop,Drip irrigation only; remove lower canopy debris
Pepper,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Critical,Speckled foliage; lower leaves yellow and drop prematurely,On Pepper: Sanitize debris and avoid wetting foliage during irrigation,Copper-alternative biologicals on a preventive schedule,Apply before forecast high-humidity periods,Start clean and avoid working wet plants
Potato,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Medium,Small circular spots with dark borders and chlorotic halos,On Potato: Sanitize debris and avoid wetting foliage during irrigation,Bacillus subtilis foliar biofungicides,Copper or protectant fungicides labeled for the crop,Start clean and avoid working wet plants
Strawberry,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Low,Small circular spots with dark borders and chlorotic halos,On Strawberry: Sanitize debris and avoid wetting foliage during irrigation,Bacillus subtilis foliar biofungicides,Rotate multi-site and single-site actives carefully,Drip irrigation only; remove lower canopy debris
Tomato,Leaf Spot,Fungal Leaf Spot (Septoria / Cercospora / Alternaria spp.),Medium,Numerous leaf lesions coalescing into blighted areas,On Tomato: Sanitize debris and avoid wetting foliage during irrigation,Copper-alternative biologicals on a preventive schedule,Copper or protectant fungicides labeled for the crop,Drip irrigation only; remove lower canopy debris
Cucumber,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),High,Stunted growth with blistered or fern-leaf foliage,On Cucumber: No curative spray — rogue symptomatic plants and reset hygiene,"No direct antiviral biological; use vector biocontrol (e.g., beneficials vs aphids)",Disinfect tools with appropriate virucidal sanitizers,Control aphids/thrips; remove weed hosts
Lettuce,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),High,Mottled light/dark green mosaic on leaves; leaf distortion,On Lettuce: Remove infected plants; control insect vectors; sanitize hands/tools,Predator/parasitoid programs to lower aphid/thrips pressure,Avoid tobacco products near tomato operations (TMV risk),Do not touch healthy plants after handling symptomatic ones
Pepper,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),Critical,Stunted growth with blistered or fern-leaf foliage,On Pepper: No curative spray — rogue symptomatic plants and reset hygiene,"No direct antiviral biological; use vector biocontrol (e.g., beneficials vs aphids)",Avoid tobacco products near tomato operations (TMV risk),Virus-free transplants; insect screens; worker hygiene
Potato,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),Critical,Chlorotic mosaic patterns and uneven fruit color/quality,On Potato: No curative spray — rogue symptomatic plants and reset hygiene,Plant health biologicals only as supportive measures,Avoid tobacco products near tomato operations (TMV risk),Virus-free transplants; insect screens; worker hygiene
Strawberry,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),Medium,Stunted growth with blistered or fern-leaf foliage,On Strawberry: Quarantine new plants; replace severely affected blocks,"No direct antiviral biological; use vector biocontrol (e.g., beneficials vs aphids)",Avoid tobacco products near tomato operations (TMV risk),Control aphids/thrips; remove weed hosts
Tomato,Mosaic Virus,Mosaic Virus Complex (TMV / CMV / PepMV-related symptoms),High,Stunted growth with blistered or fern-leaf foliage,On Tomato: Remove infected plants; control insect vectors; sanitize hands/tools,Plant health biologicals only as supportive measures,Disinfect tools with appropriate virucidal sanitizers,Control aphids/thrips; remove weed hosts
Cucumber,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Low,Interveinal chlorosis or marginal leaf burn without pathogen signs,On Cucumber: Correct fertigation recipe; verify EC/pH; apply targeted nutrient correction,"Compost teas only as supplements, not replacements for minerals",Not a pathogen — use soluble fertilizers / chelates as labeled,Match recipe to crop (Tomato vs Lettuce differ strongly)
Lettuce,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Medium,Uniform yellowing or purpling linked to fertigation error,On Lettuce: Flush salts if EC is high; adjust Ca/K balance for fruiting crops,"Compost teas only as supplements, not replacements for minerals",Avoid excess single-salt dumping that causes antagonism,Match recipe to crop (Tomato vs Lettuce differ strongly)
Pepper,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Low,Interveinal chlorosis or marginal leaf burn without pathogen signs,On Pepper: Flush salts if EC is high; adjust Ca/K balance for fruiting crops,Beneficial root microbes to improve nutrient uptake efficiency,Correct pH with approved acids/bases in fertigation,Routine EC/pH logging; staged nutrition by crop phase
Potato,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),High,"Tip burn, blossom-end issues, or pale older leaves from imbalance",On Potato: Recalibrate dosing pumps and monitor leaf tissue response,Beneficial root microbes to improve nutrient uptake efficiency,Avoid excess single-salt dumping that causes antagonism,Match recipe to crop (Tomato vs Lettuce differ strongly)
Strawberry,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Low,Interveinal chlorosis or marginal leaf burn without pathogen signs,On Strawberry: Flush salts if EC is high; adjust Ca/K balance for fruiting crops,Mycorrhizae in soil/soilless systems where compatible,Avoid excess single-salt dumping that causes antagonism,Routine EC/pH logging; staged nutrition by crop phase
Tomato,Nutrient Deficiency,Environmental Nutrient Disorder (N / K / Ca / Mg imbalance),Low,"Tip burn, blossom-end issues, or pale older leaves from imbalance",On Tomato: Flush salts if EC is high; adjust Ca/K balance for fruiting crops,Mycorrhizae in soil/soilless systems where compatible,Avoid excess single-salt dumping that causes antagonism,Routine EC/pH logging; staged nutrition by crop phase
Cucumber,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Medium,Sparse white mycelium on leaves progressing to chlorosis and defoliation,On Cucumber: Remove heavily infected tissue and spray labeled mildew protectant during cool hours,Trichoderma-based protectants on foliage where crop label allows,Apply potassium bicarbonate or wettable sulfur early; never mix oil + sulfur,"Maintain spacing, lower overnight RH, sanitize tools between plants"
Lettuce,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Medium,White powdery patches on upper leaf surfaces; leaves yellow and curl,"On Lettuce: Improve airflow, prune infected leaves, apply potassium bicarbonate or biofungicide early",Potassium bicarbonate / horticultural oil rotation (label-compliant),Rotate sulfur or myclobutanil-group products by FRAC code; observe PHI,Avoid overhead irrigation; scout weekly for first mildew colonies
Pepper,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),High,Sparse white mycelium on leaves progressing to chlorosis and defoliation,"On Pepper: Improve airflow, prune infected leaves, apply potassium bicarbonate or biofungicide early",Potassium bicarbonate / horticultural oil rotation (label-compliant),Apply potassium bicarbonate or wettable sulfur early; never mix oil + sulfur,Avoid overhead irrigation; scout weekly for first mildew colonies
Potato,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Low,White powdery patches on upper leaf surfaces; leaves yellow and curl,"On Potato: Isolate dense canopies, reduce leaf wetness, and start a preventive mildew program",Bacillus subtilis or Bacillus amyloliquefaciens foliar sprays,Rotate sulfur or myclobutanil-group products by FRAC code; observe PHI,"Maintain spacing, lower overnight RH, sanitize tools between plants"
Strawberry,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),High,White powdery patches on upper leaf surfaces; leaves yellow and curl,On Strawberry: Remove heavily infected tissue and spray labeled mildew protectant during cool hours,Potassium bicarbonate / horticultural oil rotation (label-compliant),Apply potassium bicarbonate or wettable sulfur early; never mix oil + sulfur,Avoid overhead irrigation; scout weekly for first mildew colonies
Tomato,Powdery Mildew,Powdery Mildew (Oidium / Podosphaera spp.),Low,Sparse white mycelium on leaves progressing to chlorosis and defoliation,"On Tomato: Improve airflow, prune infected leaves, apply potassium bicarbonate or biofungicide early",Bacillus subtilis or Bacillus amyloliquefaciens foliar sprays,Use labeled strobilurin fungicides only under high pressure; avoid overuse,"Maintain spacing, lower overnight RH, sanitize tools between plants"
Cucumber,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),High,Crown discoloration; cucumber plants collapse in poorly drained zones,On Cucumber: Improve drainage; reduce irrigation; drench with labeled oomycete product,Mycorrhizae / beneficial microbe drenches for suppression,Rotate oomycete chemistries; do not rely on a single FRAC group,Use sterile media; avoid standing water under benches
Lettuce,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Low,Crown discoloration; lettuce plants collapse in poorly drained zones,On Lettuce: Correct overwatering and apply biological root protectant,Compost-based biologicals in clean media mixes,Rotate oomycete chemistries; do not rely on a single FRAC group,Use sterile media; avoid standing water under benches
Pepper,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),High,Crown discoloration; pepper plants collapse in poorly drained zones,On Pepper: Improve drainage; reduce irrigation; drench with labeled oomycete product,Trichoderma harzianum and Bacillus root-zone inoculants,Spot-drench only after confirming pathogen class,Use sterile media; avoid standing water under benches
Potato,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Medium,Wilting despite moist media; brown soft roots; stunted growth,On Potato: Correct overwatering and apply biological root protectant,Trichoderma harzianum and Bacillus root-zone inoculants,Labeled mefenoxam / propamocarb / etridiazole products as permitted,Use sterile media; avoid standing water under benches
Strawberry,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Critical,Crown discoloration; strawberry plants collapse in poorly drained zones,On Strawberry: Improve drainage; reduce irrigation; drench with labeled oomycete product,Trichoderma harzianum and Bacillus root-zone inoculants,Labeled mefenoxam / propamocarb / etridiazole products as permitted,Use sterile media; avoid standing water under benches
Tomato,Root Rot,Root Rot (Pythium / Phytophthora / Rhizoctonia complex),Low,Root tips decayed; foliage chlorotic; uneven stand vigor,On Tomato: Remove severely affected plants; sanitize media and emitters,Compost-based biologicals in clean media mixes,Labeled mefenoxam / propamocarb / etridiazole products as permitted,Keep root zone oxygenated and within crop-optimal moisture
Lettuce,Soft Rot,Bacterial Soft Rot (Pectobacterium / Dickeya spp.),Critical,Rapid liquefaction of infected tissue under high moisture,On Lettuce: Reduce free water; discard severely infected heads/tubers,Limited; rely on sanitation and dry handling,Follow postharvest sanitation protocols,Clean crates and cool quickly after picking
Pepper,Soft Rot,Bacterial Soft Rot (Pectobacterium / Dickeya spp.),Medium,Rapid liquefaction of infected tissue under high moisture,On Pepper: Sanitize harvest knives and cool product promptly,Limited; rely on sanitation and dry handling,Focus on hygiene chemistry rather than plant sprays,Avoid wounds; keep foliage and harvest zones dry
Potato,Soft Rot,Bacterial Soft Rot (Pectobacterium / Dickeya spp.),Medium,Watery foul-smelling soft tissue collapse on stems or stored organs,On Potato: Sanitize harvest knives and cool product promptly,No strong curative biological for soft rot,Disinfectants on tools/surfaces; copper of limited value on soft rot,Avoid wounds; keep foliage and harvest zones dry
Tomato,Soft Rot,Bacterial Soft Rot (Pectobacterium / Dickeya spp.),Critical,Rapid liquefaction of infected tissue under high moisture,On Tomato: Sanitize harvest knives and cool product promptly,Beneficial microbes on healthy tissue only as preventives,Disinfectants on tools/surfaces; copper of limited value on soft rot,Avoid wounds; keep foliage and harvest zones dry
Pepper,Tomato Yellow Leaf Curl,Tomato Yellow Leaf Curl Virus (TYLCV),Critical,Small chlorotic leaflets and reduced fruit set,On Pepper: Install/repair insect screens; remove symptomatic tomatoes promptly,Banker-plant strategies where established,Use oils/soaps where compatible; avoid resistance buildup,Quarantine transplants from unknown sources
